samplingFrequency,polynomialAugmentation,features,history,epochs_trained,dropout_rate,mc_samples,MAPE_P50,RMSE_P50,nRMSE_P50,MAE_P50,nMAE_P50,R2_P50,MBE_P50,PICP_80,PINAW,QuantileLoss_P10,QuantileLoss_P50,QuantileLoss_P90,AvgQuantileScore,IntervalWidth
15_minutes,1,GHI,10,50,0.2,100,22.192144098219345,72.60375725895003,0.19705953254632813,46.68983839319891,0.12672453982804305,0.9214929860967744,-3.3954671551547526,25.80306039014134,0.0690455590419985,19.23676903475843,23.344919196599456,18.890169384254417,20.4906192052041,25.438845529156154
15_minutes,1,GHI,20,49,0.2,100,24.1489729751992,79.98472679875007,0.21707257026876844,55.74950810626366,0.15129999813958617,0.9047162287617017,-24.59478210994594,16.36682242990654,0.06725064760022624,16.09063311363119,27.87475405313183,30.695035413128103,24.886807526630378,24.779845139729414
15_minutes,2,GHI,10,36,0.2,100,30.648859371268895,74.91068244648574,0.20332093851535735,51.34565265127156,0.13936124922100254,0.9164247328010111,2.007410910304137,16.45835766849667,0.07146059948756527,22.576986046193984,25.67282632563578,19.377340435430483,22.54238426908675,26.32863252912914
15_minutes,2,GHI,20,50,0.2,100,22.52225257142604,73.92450411400299,0.20062557885890714,48.388552503144496,0.13132291480936795,0.9186080138840651,-2.8772588205098186,24.100467289719628,0.06668424097730864,20.179648866543175,24.194276251572248,19.927537139556136,21.433820752557185,24.571141299649693
15_minutes,1,GHI_d1,10,41,0.2,100,21.257334400235408,71.44312924254595,0.19390938132816143,44.00824357211998,0.11944621372109315,0.9239829164076807,-1.9001619897333928,28.74664174745941,0.06740419826610326,18.630801894477823,22.00412178605999,17.379824458779755,19.33824937977252,24.83410970233467
15_minutes,1,GHI_d1,20,37,0.2,100,25.05716065878552,81.27847848589776,0.22058371564937745,56.428218811472846,0.15314196826495002,0.9016088726814497,-21.524796043898704,15.806074766355142,0.065581946827523,17.390461793887194,28.214109405736423,30.254694904946923,25.286422034856844,24.1649789903662
15_minutes,2,GHI_d1,10,27,0.2,100,28.848564814180506,72.54398913435527,0.19689731120767473,48.25236777235783,0.1309655229489132,0.9216221883812318,-4.61852476867814,15.792547599579487,0.06772281703301061,19.608351321564026,24.126183886178914,19.64898113092916,21.127838779557365,24.951500215301856
15_minutes,2,GHI_d1,20,22,0.2,100,24.969554135545543,75.96572159814673,0.20616529054505814,50.721144167279775,0.1376533942419646,0.9140511359048114,4.754270003868132,26.530373831775698,0.08302085035588776,22.78240413178238,25.360572083639887,17.812658208590257,21.985211474670837,30.590691518941256
15_minutes,1,GHI_season,10,11,0.2,100,61.389145833953876,121.47114777418751,0.32969433679407223,91.82176658144236,0.24922063379697273,0.7802461275354546,47.911670226141986,15.629015301950707,0.13375780583409527,50.33351455819393,45.91088329072118,24.246993942640003,40.163797263851706,49.28114433634577
15_minutes,1,GHI_season,20,12,0.2,100,63.04678078716089,111.19032278544076,0.3017622253905956,82.89089486868663,0.22495969319614229,0.815863964571631,37.27181609525211,18.679906542056074,0.12160270303349827,45.943423638290724,41.445447434343315,22.07432189206529,36.4877309882331,44.806946211956685
15_minutes,2,GHI_season,10,24,0.2,100,46.05701138430937,82.68852875184834,0.2244313991170778,61.075836526498435,0.16577070182279144,0.8981688153597172,-0.33363118878988934,21.14238990772106,0.11001432516583193,25.478432313101933,30.537918263249217,21.902518699067993,25.972956425139714,40.53319956734106
15_minutes,2,GHI_season,20,18,0.2,100,36.67992652569839,90.57051517396042,0.24580160871019335,67.45166258144125,0.1830587707362648,0.8778260873730865,-22.531333269881582,29.614485981308412,0.16330992847069226,18.01048575205715,33.72583129072063,30.34526001939251,27.360525687390094,60.17480696008089
15_minutes,1,GHI_season_d1,10,11,0.2,100,57.12796480131966,122.81281515728608,0.33333586110807,90.39569067951815,0.24535000972435803,0.775364888392048,36.346704217523495,19.70564186426819,0.15038363125897491,44.050188867523154,45.19784533975908,27.608021657705486,38.952018621662575,55.406691158567405
15_minutes,1,GHI_season_d1,20,11,0.2,100,102.07690044761897,189.32694155160198,0.5138191685912388,151.98845434801083,0.412485305094718,0.4661372186729321,118.9390182992675,6.927570093457944,0.1537229365772551,101.5812943813813,75.99422717400542,28.197739536326754,68.59108703057116,56.64228819702865
15_minutes,2,GHI_season_d1,10,11,0.2,100,51.35980189384133,120.7331152225079,0.32769118495828997,91.08991612055809,0.24723426125703243,0.7829083697562355,44.21387689881241,16.7153369933419,0.16390945886321548,45.33813671037468,45.54495806027904,24.42023818253717,38.43444431773029,60.39008826407823
15_minutes,2,GHI_season_d1,20,15,0.2,100,43.59100501090871,107.85096312909118,0.2926994528755439,81.19549140211454,0.22035849490665668,0.8267581304251577,-31.63992866623096,21.91588785046729,0.1547496243096553,20.96587548711945,40.59774570105727,40.88491453539474,34.14951190785715,57.0205918108016
