soc,grid_import,grid_export,energy_cost,degradation_cost,total_cost,battery_action,timestep,pv_forecast,pv_actual,load
3.0371439405419207,0.18757842613297088,0.0,0.029412297217649833,0.021985662824258765,0.051397960041908594,-0.4397132564851753,0,0.6228263222219981,0.37268733333333337,0.9999790159514795
2.444665267380936,0.0,0.053460507799409474,-0.004757985194147443,0.028142736975146767,0.023384751780999323,-0.5628547395029353,1,0.6115402819815683,0.5633435,1.0727377317035258
1.8464617167503525,0.0,0.13609146798774663,-0.01211214065090945,0.028414668654952725,0.016302528004043276,-0.5682933730990544,2,0.6185778834581747,0.6935086666666668,1.1257105717779745
0.9920485370759289,0.17681028198728677,0.0,0.027723852215606564,0.04058462603453512,0.06830847825014169,-0.8116925206907024,3,0.6475142976033749,0.3936618888888888,1.382164691566878
0.5047202916275442,0.2578657588489151,0.0,0.040433350987509886,0.023148091658798272,0.06358144264630816,-0.46296183317596545,4,0.6222721812454697,0.29387,1.0146975920248806
0.0,0.735011325335049,0.0,0.11524977581253568,0.023974213852308347,0.13922398966484403,-0.4794842770461669,5,0.5713509040275531,0.21399744444444446,1.4284930468256603
0.0,1.1084019227030917,0.0,0.17379742147984478,0.0,0.17379742147984478,-0.0,6,0.5229121311324376,0.20859388888888888,1.3169958115919806
0.0,1.2313697797527408,0.0,0.19307878146522975,0.0,0.19307878146522975,-0.0,7,0.5083339153921902,0.1418106666666667,1.3731804464194075
0.0,1.7550597107009642,0.0,0.27519336263791117,0.0,0.27519336263791117,-0.0,8,0.509201285746231,0.10560905555555555,1.8606687662565198
0.0,1.9271739542318944,0.0,0.30218087602356103,0.0,0.30218087602356103,-0.0,9,0.49134333508368166,0.08387716666666667,2.011051120898561
0.0,1.9886651887765348,0.0,0.3118227016001606,0.0,0.3118227016001606,-0.0,10,0.483898037054895,0.05659188888888889,2.0452570776654238
0.0,2.003072748982797,0.0,0.3140818070405026,0.0,0.3140818070405026,-0.0,11,0.47295911476811886,0.03598612359550562,2.0390588725783028
0.0,1.8395538723124134,0.0,0.2884420471785864,0.0,0.2884420471785864,-0.0,12,0.4867482213541282,0.2063391011235955,2.045892973436009
0.0,1.7710164912310231,0.0,0.2776953858250244,0.0,0.2776953858250244,-0.0,13,0.5457848158349925,0.19034505555555553,1.9613615467865786
0.0,1.7294016122794513,0.0,0.27117017280541794,0.0,0.27117017280541794,-0.0,14,0.5595251568337662,0.29594322222222225,2.0253448345016736
0.0,1.8077698406019507,0.0,0.28345831100638585,0.0,0.28345831100638585,-0.0,15,0.5894154716407138,0.35601416666666663,2.1637840072686174
0.0,1.5457021648457694,0.0,0.24236609944781662,0.0,0.24236609944781662,-0.0,16,0.6240634029137864,0.2939735,1.8396756648457693
0.0,3.048798557613723,0.0,0.4780516138338317,0.0,0.4780516138338317,-0.0,17,0.6359694416686916,0.40704233333333334,3.4558408909470564
0.0,2.869124396923774,0.0,0.44987870543764774,0.0,0.44987870543764774,-0.0,18,0.6416766027486507,0.5155769444444444,3.3847013413682183
0.0,3.843172284492135,0.0,0.6026094142083668,0.0,0.6026094142083668,-0.0,19,0.6702539013506048,0.4691007777777778,4.312273062269913
0.0,3.136110341757691,0.0,0.49174210158760595,0.0,0.49174210158760595,-0.0,20,0.684116617763221,0.6057844444444445,3.7418947862021357
0.0,2.2030192512701894,0.0,0.3454334185991657,0.0,0.3454334185991657,-0.0,21,0.7251145594244441,0.4529875,2.6560067512701893
0.0,1.9705862224407036,0.0,0.3089879196787023,0.0,0.3089879196787023,-0.0,22,0.6935779538314562,0.4118088888888889,2.3823951113295925
0.0,1.7643409601368156,0.0,0.2766486625494527,0.0,0.2766486625494527,-0.0,23,0.6835687155332809,0.46760616666666655,2.2319471268034823
0.0,1.854275481037863,0.0,0.2907503954267369,0.0,0.2907503954267369,-0.0,24,0.6879170111581734,0.42825077777777776,2.2825262588156408
0.0,1.9057989713755665,0.0,0.4268989695881269,0.0,0.4268989695881269,-0.0,25,0.6987076801532475,0.3693985,2.2751974713755665
0.0,2.056914234684356,0.0,0.46074878856929574,0.0,0.46074878856929574,-0.0,26,0.6768607709030134,0.4127655555555555,2.4696797902399115
0.0,2.0158351012421867,0.0,0.45154706267824984,0.0,0.45154706267824984,-0.0,27,0.6816217836098848,0.43542899999999995,2.4512641012421867
0.0,2.3194830429810374,0.0,0.5195642016277524,0.0,0.5195642016277524,-0.0,28,0.6944016160437204,0.5097036666666667,2.829186709647704
0.0,1.9344382225753798,0.0,0.4333141618568851,0.0,0.4333141618568851,-0.0,29,0.7212009087837395,0.6666172222222222,2.601055444797602
0.0,1.9335418349312232,0.0,0.433113371024594,0.0,0.433113371024594,-0.0,30,0.7447573822617414,0.9367855555555554,2.8703273904867785
0.0,1.589366949047311,0.0,0.35601819658659767,0.0,0.35601819658659767,-0.0,31,0.8465837676383702,0.9499224444444444,2.5392893934917553
0.0,1.2781723788037258,0.0,0.2863106128520346,0.0,0.2863106128520346,-0.0,32,1.0510835313011915,1.4975565555555557,2.7757289343592815
0.0,3.2585574444444445,0.0,0.7299168675555556,0.0,0.7299168675555556,-0.0,33,1.6552602891040902,1.2414425555555555,4.5
0.0,3.572309722222222,0.0,0.8001973777777778,0.0,0.8001973777777778,-0.0,34,1.6141326996439487,0.9276902777777779,4.5
0.0,3.352837991469028,0.0,0.7510357100890622,0.0,0.7510357100890622,-0.0,35,1.3187013955928948,0.982769277777778,4.335607269246806
0.0,3.2734795181906695,0.0,0.73325941207471,0.0,0.73325941207471,-0.0,36,1.2059190328944385,0.9494394444444444,4.222918962635114
