datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2016-01-08,70.51410024676571,215.08373812049797,0.33051636757850555,0.00021702815238331896,-3.0164579849737244e-06,7.22485387495277e-06,-5.220309489741222e-08,-3.285885165096897e-07,1.0008440499242401e-08,6.5265054999690386e-06,8.082815403785284e-09,2.1374308409881047e-07,0.25881904510252074,0.09034173899300005,0.9551833757705077,2016
2016-01-14,124.32886229127577,225.4383250168521,0.5547788083590668,-0.0001245607657821399,-1.05784751311066e-06,-4.083117645095692e-06,1.0905125408959686e-08,-2.115568947929941e-09,-3.1063501286092225e-09,-3.740094511086778e-06,-3.1100754708841576e-08,-1.2156162431428827e-07,0.25881904510252074,0.14163340009144904,0.9533920319340529,2016
2016-01-20,197.1194796999898,236.97441032292673,0.8541762763707521,-2.9621985020935555e-05,1.0692317955789043e-06,-1.0141021759816706e-06,-2.9486347818986733e-09,-2.5876892337040357e-09,-9.48633229574243e-10,-8.877749601931812e-07,3.28532606374922e-08,-3.013847531057657e-08,0.25881904510252074,0.1925451011868414,0.9513985926807524,2016
2016-01-26,179.18984136982,254.40715655102161,0.7403538842530704,-1.5611591136190006e-05,-1.188430853855966e-06,-4.870278061795281e-07,1.187327337919327e-07,-2.1334011350047508e-09,3.5492920219697955e-09,-5.039675542235086e-07,-3.501290527504754e-08,-1.567562179197662e-08,0.25881904510252074,0.2435410157301345,0.9491107684588627,2016
2016-02-01,145.09787036496857,265.9367325937335,0.555171194955923,0.000151327727373313,7.987248226190799e-07,4.991656824620806e-06,-1.9694622704129884e-07,-2.712298319355571e-09,-1.8047925171485237e-09,4.5989156893119645e-06,2.477543417446122e-08,1.5029114249377036e-07,0.5,0.292703034898053,0.9461553394413202,2016
2016-02-07,106.07649928170717,281.67490902133517,0.42579991278804746,-0.00016053787344792064,-5.931132257241716e-07,-5.303154391670079e-06,2.0604023206631862e-08,-2.0696767942744817e-09,-4.189135771171412e-09,-4.822317410399429e-06,-1.7172493732934014e-08,-1.5783789101875126e-07,0.5,0.34161562824262437,0.9418305249685909,2016
2016-02-13,155.27383032221292,296.4149428697548,0.5373516232782598,1.645261427962818e-05,-3.344941868659696e-07,5.551689628432535e-07,3.53034268669052e-08,-3.3421079741822943e-09,1.771793162130278e-09,4.829874003285309e-07,-9.032193214109122e-09,1.612353093665809e-08,0.5,0.38762605904751346,0.9362652715669293,2016
2016-02-19,199.34384103026207,319.64005977046475,0.6412550534459014,-9.375985582338351e-05,1.0103309393968038e-06,-3.133090124020405e-06,1.2990913869561106e-07,-3.6300000675923798e-09,1.292075339143005e-09,-2.851768416310238e-06,3.139892820191719e-08,-9.438032632235774e-08,0.49999999999999994,0.4289325091469906,0.9352590756623047,2016
2016-02-25,226.51196546144402,341.35001868860604,0.6731838508555256,8.804262917085099e-05,-7.748701994939648e-07,2.9405248113831053e-06,-1.4172525387760983e-07,-3.8329615542573866e-09,-1.6761173790009458e-09,2.683796451288828e-06,-2.2096217518540135e-08,8.871857955519276e-08,0.5407349293428512,0.48568176267762364,0.9291422045364984,2016
2016-03-02,167.5376895382295,367.7909240821006,0.46368991879877053,-7.83400528291388e-05,1.1259034315454769e-06,-2.619906080211925e-06,7.507298762663059e-08,-2.446473666112435e-09,-1.293935303824025e-10,-2.3727234811620888e-06,3.451104504658439e-08,-7.855836434724303e-08,0.7071067811865476,0.5271422807243108,0.9251324654821275,2016
2016-03-08,333.6077823953177,389.4881491333566,0.8750939188031915,0.0003028321756665914,1.3638311796150016e-08,1.00024125219151e-05,-1.9403988348588368e-07,-1.420095900868267e-09,3.864884378903325e-09,9.143177235043602e-06,8.351781241726793e-10,2.9891291034378165e-07,0.7071067811865476,0.5702936386028828,0.9201847828684949,2016
2016-03-14,363.11889442429776,395.8523703891797,0.9662742801359373,-1.783828705514391e-05,-1.1406594541764965e-07,-5.801171580607404e-07,1.1243644896510119e-08,-7.838160717630816e-10,-1.5827029829791534e-10,-5.385217051230758e-07,-3.186833540761771e-09,-1.735603365233459e-08,0.7071067811865476,0.6129334593494263,0.9120568984316274,2016
2016-03-20,352.6252781494348,417.6263419473844,0.8800156881616389,-0.00011314425568672678,2.7180257743692544e-07,-3.7546639927591644e-06,-3.4120357040052095e-07,-2.7133087429080254e-10,-1.4979413086643146e-08,-3.291966599481397e-06,8.235476585307517e-09,-1.0814609585678266e-07,0.7071067811865476,0.6514376616125418,0.9083395955617116,2016
2016-03-26,249.6668016735157,447.5829275865631,0.6209757400666178,-0.00010869298425035835,6.543102231904437e-09,-3.5863462917435537e-06,4.3444467171176864e-07,3.2743376067805946e-10,1.0502302859718484e-08,-3.391122929024269e-06,9.80629384114778e-11,-1.1074107961022153e-07,0.7071067811865477,0.690180747281436,0.9050055655314715,2016
2016-04-01,271.00250695592,475.58506830748723,0.5815146778592584,8.380682999875238e-05,-1.1887503962729892e-06,2.8210166885814565e-06,-1.4999376065890194e-06,1.2744337689484964e-09,-4.657447711135911e-08,2.964186181938716e-06,-3.604484201870098e-08,9.860284379085182e-08,0.8660254037844386,0.7264308148890098,0.9059458872227244,2016
2016-04-07,301.5638029291871,478.75658660686344,0.6655581718793703,-7.35498389787768e-05,2.979860438619059e-07,-2.457552004893452e-06,1.4049586776863216e-06,9.603909844478406e-10,4.377245524044062e-08,-2.6279827726692414e-06,8.651464019713896e-09,-8.685829671893544e-08,0.8660254037844385,0.7610740197795495,0.8934376501056766,2016
2016-04-13,226.00164275984528,491.6336370088967,0.43036151785956456,0.00019037295330503134,1.004875667678091e-07,6.316162484136543e-06,3.793966040021839e-07,1.3946856724239329e-09,1.8736723525367396e-08,5.597369617949986e-06,2.596221301713512e-09,1.8386385746648595e-07,0.8660254037844386,0.7935309394968563,0.8882478448442581,2016
2016-04-19,375.95801614495304,503.28285726075376,0.7907795747629534,4.415224145583644e-05,-9.091794061680398e-08,1.4741258041535232e-06,-5.614735907676983e-07,1.7392122860105345e-09,-1.7138355434035688e-08,1.4930093209053351e-06,-3.2493019040449857e-09,4.936528075481628e-08,0.8660254037844386,0.8238842342246885,0.8838096465053413,2016
