datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2016-01-08,38.375630369253955,211.43339011985955,0.20027065375813755,-0.00032324792765636777,-1.9338744306689538e-05,-1.0373860095157527e-05,-1.9216277317260715e-07,-1.977831303554531e-06,1.7444426530985656e-08,-9.63978899773918e-06,1.318706186505252e-08,-3.164491308140219e-07,0.25881904510252074,0.06880242680231986,0.9559461005891432,2016
2016-01-09,53.33721184851894,212.60523288588,0.31081716114339714,0.0008686164229471316,-7.3382524506864116e-06,2.8984841102839713e-05,-4.5369328833893467e-07,-3.2346101994532443e-10,1.0138480993703637e-08,2.619460067491545e-05,-2.200505352137138e-07,8.665036887870807e-07,0.25881904510252074,0.07738647923346309,0.9555450895857265,2016
2016-01-10,32.68683003361972,214.09816553792876,0.18771784065635305,0.00012502801643630916,4.357455723263402e-06,4.003195837875815e-06,3.0818079940231493e-06,-3.947047092756538e-09,1.0489709134404406e-07,2.8262980948823576e-06,1.3190778582533202e-07,8.86267477330608e-08,0.25881904510252074,0.08596479873744647,0.955280526960622,2016
2016-01-11,118.88185634536659,215.7062954816553,0.482943426534712,-0.0010299218459248291,-3.6352914192470038e-06,-3.414558957754462e-05,-2.3930033494595717e-06,-1.6829082624471173e-09,-1.0821859079192921e-07,-3.0179754372906105e-05,-1.0855387009809858e-07,-9.919021100887585e-07,0.25881904510252074,0.09453674981719926,0.9550665104630659,2016
2016-01-12,55.37723436066261,217.42814203037332,0.2727249858351817,0.00016585094549499368,7.870752604924486e-06,5.431789341938496e-06,1.0493140526509372e-06,-5.281858655635023e-09,3.9056601106876194e-08,4.660734149054466e-06,2.377071357445705e-07,1.5123669992609282e-07,0.25881904510252074,0.10310169744743485,0.9548056842279239,2016
2016-01-13,123.38594573643411,219.12246306829962,0.5249694549755934,0.0014835363602805456,-2.8275358561029015e-07,4.9046838410779e-05,-1.3916574381674757e-06,-2.937422156052497e-09,-2.824966410288425e-09,4.492358803986746e-05,-7.601380921556203e-09,1.4722526422464555e-06,0.25881904510252074,0.11165900712169449,0.9544759616035311,2016
2016-01-14,52.013061006982724,220.925810518667,0.24609632062376435,-0.001403087100330761,-8.524844619528602e-06,-4.6269452308982464e-05,7.056229327452464e-07,-5.312850480384029e-10,-1.696364202945999e-08,-4.230429988974653e-05,-2.5558595307113686e-07,-1.3829944766606357e-06,0.25881904510252074,0.1202080448993527,0.9541971171618675,2016
2016-01-15,193.11171057446032,222.83644025780293,0.817859983092433,-5.550676911818547e-05,2.6636582593474744e-06,-1.8807098169022805e-06,-3.07354555433664e-07,-4.039855927756774e-09,-1.1796403307795183e-08,-1.5729967069159354e-06,8.112170455844264e-08,-5.2882373514731896e-08,0.25881904510252074,0.12874817745258077,0.9538729620997792,2016
2016-01-16,168.46550309653915,224.61550758580867,0.7230185134472786,0.00045187613843351507,5.433227234392599e-07,1.5003568593849923e-05,5.173041894356807e-07,-2.694433294222012e-09,3.028718687376733e-08,1.3401092896175177e-05,1.7108011691793355e-08,4.4102090175336635e-07,0.25881904510252074,0.13727877211326478,0.9535516411803102,2016
2016-01-17,84.46679397896264,226.26054429991945,0.4110730009766301,0.00019989118607181722,-1.6039955908500944e-06,6.690508240322731e-06,-6.166122597051904e-08,-1.3327521873130504e-09,3.9866352028270816e-09,6.015233949945715e-06,-4.7720042067479144e-08,1.9951925664883457e-07,0.25881904510252074,0.14579919691987464,0.9532331173961578,2016
2016-01-18,152.52282845063127,228.00629419922745,0.6800918301729871,-2.925243770314211e-05,-3.4182432919544757e-07,-9.625879629390818e-07,-1.0328638497652165e-06,-1.8203568133898612e-09,-3.484628483086652e-08,-5.677139761641331e-07,-9.708622832980991e-09,-1.842375343891263e-08,0.25881904510252074,0.15430882066428117,0.952917354381532,2016
2016-01-19,95.36925134843581,229.85061254466348,0.44989256659889404,7.299532542250995e-05,8.38834833229515e-07,2.401330051447759e-06,2.55303847536887e-07,-2.2732265368291714e-09,1.0601980026438287e-08,2.1132686084143954e-06,2.5847012957494316e-08,6.885930753550198e-08,0.25881904510252074,0.16280701293851677,0.9526043163983162,2016
2016-01-20,89.1016813462227,231.79133334582662,0.4099023188953532,-0.0002271392767633369,1.9425866994402767e-06,-7.602868877772545e-06,-1.9692087361257442e-07,-2.6991160319176735e-09,-1.3194325801366504e-08,-6.755102040816414e-06,5.908733579346804e-08,-2.2412776859276672e-07,0.25881904510252074,0.1712931441814776,0.9522939683225823,2016
2016-01-21,168.52767818959373,233.75368842424402,0.736230487091479,0.000342159657875979,2.9724236934813303e-06,1.1248457832962829e-05,-1.247327156090608e-07,-3.1047870156017123e-09,5.950813027592153e-09,1.0302209550962908e-05,9.010414690836565e-08,3.35668491080606e-07,0.25881904510252074,0.17976658572556212,0.9519297421548536,2016
2016-01-22,225.42936808510638,235.7343717404231,0.9569089002459155,2.5957446808510416e-05,-5.683307702743911e-06,1.0708835424305814e-06,-3.191489361700052e-07,-4.170609417598929e-10,-9.450452896671613e-09,8.744680851067904e-07,-1.7037411280069227e-07,3.4961642141921407e-08,0.25881904510252074,0.1882267098432442,0.9515590563760911,2016
2016-01-23,259.94568337451466,237.8767146312038,1.1012358874674677,-0.00032605012354394643,4.78641568343009e-06,-1.0979223031543542e-05,4.871161313093988e-07,-3.8132126743467105e-09,6.277279126639269e-09,-9.927638545710399e-06,1.447364343060752e-07,-3.3125987468429577e-07,0.25881904510252074,0.19667288979357628,0.9512016738235523,2016
2016-01-24,167.92923735955057,239.95842586841053,0.7405347844680475,1.8258426966292102e-05,-3.959518818879689e-06,7.143236095049804e-07,-5.512640449431156e-07,-1.0555841356063917e-09,-1.7436091871733765e-08,7.131320224719951e-07,-1.1846888932524221e-07,2.6660535846670083e-08,0.25881904510252074,0.2051044998686192,0.9507827871406154,2016
2016-01-25,269.6555650237057,242.55924898884123,1.17123547809297,-1.0325516275813574e-05,6.338263811318125e-06,-5.161487164710373e-07,6.790339516976245e-07,-4.4254588423527316e-09,2.1908481619686377e-08,-5.134756737841184e-07,1.914755519919689e-07,-2.205700598003352e-08,0.25881904510252074,0.21352091543979604,0.9506523511994589,2016
2016-01-26,248.85496161825728,270.7053353763313,0.942718046947833,0.007894979253112033,0.006468930062538716,1.3914170724503019e-05,1.9087136929511854e-07,-2.8913299778991753e-07,-1.5432353748069752e-08,0.00023679211618257243,0.00019415464177549924,4.2205482785951444e-07,0.25881904510252074,0.22192151300416552,0.9517074823286761,2016
2016-01-27,178.1937976149126,247.10380719624246,0.7780889440889782,-0.005488572420979508,-0.005419517697999223,2.5654868012647415e-05,-6.703716568252061e-07,2.3860882676492006e-07,3.0010922156042876e-08,-0.0001644560611323383,-0.00016265711358800535,7.606427637326101e-07,0.25881904510252074,0.23030567023061221,0.9494871726312087,2016
2016-01-28,209.7245276917785,249.16718123281166,0.8782213812122955,-0.0006708634330925352,-1.32999366067216e-06,-2.221105507813185e-05,-1.9607843137255065e-07,-2.0154460676872036e-09,-2.6425013344171603e-08,-2.0067079463363962e-05,-3.9295175999980424e-08,-6.584041483407044e-07,0.25881904510252074,0.23867276600595014,0.9491591474308074,2016
2016-01-29,163.48245141027104,251.56496657936196,0.7148381771507942,-0.0003554225111187125,-8.348880174096093e-07,-1.1786661056295619e-05,6.500171057132081e-07,-2.1891205202152558e-09,1.0800358378630021e-08,-1.0857680465275575e-05,-2.4389904366700688e-08,-3.568399392024607e-07,0.25881904510252074,0.24702218048093563,0.9487081870530267,2016
2016-01-30,214.02130449785366,254.0330007331691,0.8687165830631925,-0.0004907791765906774,-3.998534857557114e-07,-1.6317634494349134e-05,-1.1568560734890636e-07,-2.3437692799205197e-09,-1.862107396779824e-08,-1.4688669615516096e-05,-1.129247378978151e-08,-4.839427126401329e-07,0.25881904510252074,0.255353295116187,0.9482621367576175,2016
2016-01-31,74.199441285956,256.5688165541618,0.3004915346877836,0.0003183079526226735,-2.2650982773057354e-08,1.0591592093934673e-05,8.460236886631916e-07,-2.4682917696680013e-09,3.7614225197125065e-08,9.295431472080995e-06,6.095804869297751e-11,3.0646349525890317e-07,0.25881904510252074,0.2636654927280072,0.9478209167868961,2016
2016-02-01,183.72021642544598,259.16992399297226,0.6963304518808529,0.0004837091888253126,2.986447895913259e-07,1.6082704398492314e-05,-9.8283406260469e-07,-2.570531517804529e-09,-1.7598631559151773e-08,1.480612588354128e-05,9.730503143789537e-09,4.877607214225197e-07,0.5,0.2719581575341055,0.9473844491012849,2016
2016-02-02,188.91181419484434,261.83381169946455,0.7199010086384092,4.934717107465617e-05,5.659800961508614e-07,1.6176926267771795e-06,-3.8500167392039733e-07,-2.6583524203889247e-09,-1.1101949970188468e-08,1.5959156344161179e-06,1.777690860973263e-08,5.1861363794374765e-08,0.5,0.28023067519921613,0.946952657333297,2016
2016-02-03,64.31894241011985,264.4798977973489,0.24978351919685982,-0.0004942410119840214,7.808327605384938e-07,-1.6451082076762527e-05,2.0372836218374934e-06,-2.7198823312425454e-09,5.2009174580276956e-08,-1.543841544607195e-05,2.4240947514975255e-08,-5.091352146769587e-07,0.5,0.288482432880609,0.9464744773533588,2016
2016-02-04,95.75945713674314,267.1827675290223,0.3343923658507809,-0.0002379013571664999,9.448980036692894e-07,-7.919535677251532e-06,-1.8834822906320564e-06,-2.7600908988851107e-09,-6.922997670410155e-08,-6.571996027805091e-06,2.9174967379849898e-08,-2.168170773063168e-07,0.5,0.29671281927349025,0.946001679074618,2016
2016-02-05,139.42919081865395,269.93985523155413,0.6003214888622009,0.0007697498354180382,1.0595980238825682e-06,2.550040766931842e-05,2.6333113890617436e-08,-2.779302597385626e-09,2.4494557735587336e-08,2.3084595128373548e-05,3.262173149640856e-08,7.576638627588775e-07,0.5,0.30492122465628907,0.9454008677084479,2016
2016-02-06,198.55562945990178,272.7485776605667,0.7305422987287661,0.00033250409165302806,1.1262443202246276e-06,1.0962080346292548e-05,-3.937774379733052e-20,-2.7815627437415495e-09,1.0251182378540623e-08,9.975122749591313e-06,3.462179843027471e-08,3.257870556752165e-07,0.5,0.31310704093582653,0.9447688679065972,2016
2016-02-07,45.64751204427083,275.6063406619845,0.23362208954424143,-0.00045576171874999984,1.1463819307962601e-06,-1.5136944735409342e-05,-2.3372395833333023e-06,-2.7561430685058283e-09,-9.05194129166326e-08,-1.2971679687499988e-05,3.521830084437866e-08,-4.2695251818729065e-07,0.49999999999999994,0.3212696616923644,0.9441438628942201,2016
2016-02-08,105.86839721592749,278.510558611629,0.4411788673141677,-0.0005574295888637104,1.1215744493778757e-06,-1.845996277637474e-05,4.956296536095931e-06,-2.7146621060764395e-09,1.452421456542526e-07,-1.820977662673954e-05,3.446163211372318e-08,-5.973715269875173e-07,0.49999999999999994,0.3294084822245301,0.9435257371859611,2016
2016-02-09,41.25318018018018,281.29686601625747,0.16227737124286626,-0.00021991634491634477,-8.078527978965225e-06,-7.163784859574521e-06,-2.0463320463319787e-06,5.703247505721249e-10,-7.357020597573016e-08,-5.983590733590685e-06,-2.4252693679338203e-07,-1.9284248399451666e-07,0.49999999999999994,0.33752289959411325,0.9428415174607142,2016
2016-02-10,143.72989130143836,276.6715995601912,0.5366655415228161,0.0003436541143654122,1.001885482309374e-06,1.1424993253960995e-05,-7.008368200848094e-07,-2.7793217398498946e-09,-1.2360521530507776e-08,1.0519874476987552e-05,3.089036099216645e-08,3.464579540779822e-07,0.5,0.3456123126707332,0.9377590902127398,2016
2016-02-11,248.25970229007632,287.1488215007026,0.9155888719555664,7.585877862595437e-05,7.737865278077925e-07,2.504486940781635e-06,-3.212468193374032e-07,-2.4565101797216014e-09,-8.168970992857963e-09,2.3721374045805105e-06,2.3950548888582334e-08,7.758529952130574e-08,0.49999999999999994,0.3536761221763716,0.9415458822077805,2016
2016-02-12,53.178850094876665,290.1289851676728,0.26894780360468673,-0.00011998734977862122,5.935662758911587e-07,-4.003321142565522e-06,5.154965211889986e-07,-2.3392767028983056e-09,1.3267501027769846e-08,-3.754269449715318e-06,1.8508771288066774e-08,-1.240798845852974e-07,0.49999999999999994,0.3617137307297675,0.9409091278804373,2016
2016-02-13,87.92528238993711,293.1419070813742,0.2998451433157427,-0.00011270440251572339,3.813705405193872e-07,-3.752598438001208e-06,1.7389937106917945e-06,-2.210244094525671e-09,5.373170835900082e-08,-3.902830188679369e-06,1.2104189444005732e-08,-1.2869746564773528e-07,0.49999999999999994,0.3697245428906731,0.940279582092649,2016
2016-02-14,79.05153252032521,296.1850744537917,0.34544828235521696,0.0010991244527829892,1.4035974194236937e-07,3.650668160574114e-05,-1.3101938711696136e-06,-2.0631555610129098e-09,-8.549714340430286e-09,3.336679174484038e-05,4.829738927395394e-09,1.0977653624743633e-06,0.49999999999999994,0.3777079652039648,0.9396571231242354,2016
2016-02-15,73.3683403792353,299.52713230741375,0.24730164042494482,-0.0013871930369909853,3.7873386730386172e-06,-4.6106347665501804e-05,2.424619210444617e-07,-4.21695146286362e-09,-3.5650528830672474e-08,-4.1688529686042855e-05,1.148852456287112e-07,-1.372495271315852e-06,0.49999999999999994,0.38566340624360707,0.9389963449761508,2016
2016-02-16,290.8811486786306,303.1661782304856,0.9981974193358066,0.0005267222737102277,-1.5857671128335546e-06,1.7466951401958445e-05,-7.877664504179382e-07,-3.0775593591209547e-09,-9.19796028149109e-09,1.603799814643136e-05,-4.664974557793459e-08,5.267679301431982e-07,0.49999999999999994,0.39359027665646673,0.9383209852422101,2016
2016-02-17,25.485288401253918,87.46789960226793,0.31476242201513915,0.0049918495297805645,0.03786203686795037,-0.00016550832550663933,1.0626959247648976e-05,2.2098335022863568e-05,-2.0075485802727174e-08,0.00014656739811912226,0.0011292316055316522,-4.959227119458363e-06,0.5,0.40148798920597295,0.8067942548558089,2016
2016-02-18,254.07154456708636,310.4270897642008,0.8062095850709586,-0.000525045759609518,-0.003688894916111256,1.4913520664012589e-05,-7.260524710188165e-07,-2.1559249005476048e-06,1.1119454664502751e-08,-1.5533557046979977e-05,-0.00011002007001317426,4.4406978352102573e-07,0.49999999999999994,0.4093559588156214,0.9369511767696275,2016
2016-02-19,171.67489963614312,314.1291900028653,0.5329305990783928,0.00043668890236507,6.08139257260783e-06,1.4292063957458719e-05,3.2443905397398166e-07,-5.649598420923415e-09,2.4429901018693133e-08,1.3003335354760203e-05,1.8413665670445872e-07,4.214329484181532e-07,0.49999999999999994,0.4171936026123168,0.9362786758120383,2016
2016-02-20,96.06174992467609,317.76108934748487,0.3250124953971109,-0.0005588731545646281,-3.180026351260477e-06,-1.8420247016919157e-05,6.025911419130398e-08,-2.1129504632192958e-09,-1.5622712632271705e-08,-1.6784272371196232e-05,-9.476690539870086e-08,-5.479205967178929e-07,0.49999999999999994,0.42500033996955394,0.9355933153387015,2016
