datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2016-01-08,60.93003827795976,213.46803730360247,0.2958032129508063,-9.115582592419376e-05,-6.457582194504003e-06,-2.9258116432516035e-06,9.358914366105504e-09,-4.927576200039703e-07,5.9300886189551665e-09,-2.7374824520354665e-06,-4.590017983381397e-08,-8.955337588323444e-08,0.25881904510252074,0.08171636816359024,0.9554580616917699,2016
2016-01-12,106.16084457372993,220.08817432355514,0.46616215124633975,4.573664825045988e-05,4.185189802138471e-07,1.517335308257203e-06,1.2891344383425054e-08,-3.194217521295096e-09,1.7757991691905875e-09,1.3682320441988317e-06,1.3513834662824293e-08,4.4987319496958303e-08,0.25881904510252074,0.11597646293346632,0.9543362312672942,2016
2016-01-16,125.12399176436827,227.19271363393887,0.5657201944051642,0.0001731360839667028,-1.3974908292289713e-07,5.758525136842718e-06,-8.143322475565893e-08,-2.029770918228359e-09,2.4542367878701054e-09,5.2185124864280785e-06,-3.5835412120701866e-09,1.7201948306892053e-07,0.25881904510252074,0.15009464737245892,0.9530748930408377,2016
2016-01-20,186.09017063633132,234.8010757742193,0.802435504029704,-4.664059722715994e-05,1.0041995596218383e-06,-1.5780205612365468e-06,-3.7326697475890566e-08,-2.5088523644784512e-09,-2.5791429088729525e-09,-1.3880199075715245e-06,3.087864249797275e-08,-4.656687396443373e-08,0.25881904510252074,0.18404020705545185,0.9517439380496082,2016
2016-01-24,214.79250664963257,249.24550576762715,0.906615553051943,0.0002954156812806986,-5.310434517638734e-07,9.819289904618575e-06,-1.0005457522251432e-07,-2.319951969108287e-09,5.652539084150147e-09,8.892486810987494e-06,-1.5235317961753246e-08,2.9288293541331403e-07,0.25881904510252074,0.2175775643051934,0.9506123110397203,2016
2016-01-28,165.1139858743956,252.85032712620185,0.689489258753074,-0.0002977567383145682,-6.438734472187542e-07,-9.866881654810348e-06,2.9767997270561916e-07,-2.255189448346199e-09,9.531416594486103e-10,-9.022006141248896e-06,-1.8639646582232114e-08,-2.962923921421454e-07,0.25881904510252074,0.25123528059389344,0.9484845531706986,2016
2016-02-01,132.90626512643755,263.1851951446077,0.49901453010460806,-5.164816823833717e-05,6.490874320972214e-07,-1.7299678874628563e-06,-3.037636651921984e-07,-2.677652419901808e-09,-1.1545961621224421e-08,-1.4583159475921904e-06,2.0275918688724232e-08,-4.843524813751678e-08,0.5,0.28440351900629635,0.9467000908110145,2016
2016-02-05,122.19927906863641,274.2211505640143,0.5007403285452195,1.895707524073761e-05,1.1135926195834708e-06,6.068120380213829e-07,6.699853109188828e-07,-2.757765482708371e-09,2.2548488657846125e-08,3.67716663946619e-07,3.4235108232724046e-08,1.143981454328863e-08,0.5,0.31723322122370434,0.944455498329639,2016
2016-02-09,121.2434652542359,283.9886462315215,0.469999935787053,1.3124898225044757e-05,-1.4594541595477042e-06,4.6551398777298215e-07,-6.310047223579394e-07,-1.7357585380738247e-09,-2.017892708628923e-08,5.830483634588585e-07,-4.326289722437026e-08,2.0019097759075868e-08,0.5,0.34977477848625665,0.9408255514588213,2016
2016-02-13,133.2619566920766,298.02983449088435,0.4742039889614323,3.109413965087358e-05,6.789564479821036e-07,1.0155475366689914e-06,-3.35099750626619e-08,-2.89545980410051e-09,-7.299739390052336e-11,9.428771820447149e-07,2.1237331380419146e-08,3.0488325318239625e-08,0.49999999999999994,0.3817304412825192,0.9393086675361004,2016
2016-02-17,168.98268034960927,307.0422346185555,0.5462586470010752,-5.320148815351428e-05,-4.607253663502501e-07,-1.7536917972822102e-06,2.2322302721832656e-07,-4.248894642766631e-09,5.753233087165767e-09,-1.6630115527708463e-06,-1.2547092597911837e-08,-5.433672384461645e-08,0.5,0.41672450864780525,0.9322277864878691,2016
2016-02-21,264.1267408955224,323.2835151924666,0.8512346207097788,-0.00012446268656716392,5.899480410925567e-07,-4.137580337928942e-06,6.865671641826285e-08,-3.3873810030593695e-09,-1.7181288122046944e-09,-3.7544776119406373e-06,1.871465553312152e-08,-1.2361197149421202e-07,0.49999999999999994,0.4366587454531497,0.9345916155459193,2016
2016-02-25,232.87278318340373,333.8179348130713,0.738587089023687,0.00011969891683495452,5.777390927234086e-07,3.953024949707582e-06,-1.6981824857693563e-07,-5.486577358814982e-09,-1.5975303461112439e-09,3.6419129796218556e-06,1.8978145989293725e-08,1.1907000759506148e-07,0.5,0.4780443736094742,0.9294868249459711,2016
2016-02-29,157.74472534454097,356.7286621202804,0.44052007136782945,-4.34967112242767e-06,-1.148163961934147e-06,-1.1540620594943101e-07,-1.5276893698240662e-07,-1.8448210016086257e-09,-5.084875791376825e-09,-8.465945257797814e-08,-3.3891472556978545e-08,-1.9367234410718535e-09,0.6557951569913091,0.5049925827091732,0.9277236077062053,2016
2016-03-04,200.96588857471593,371.42910216564866,0.5388502001588064,-9.366187448161362e-05,1.4064588758395824e-06,-3.128794103641173e-06,2.135747857334679e-07,-2.462821006895671e-09,3.902888840630165e-09,-2.873928670168552e-06,4.2932612577323906e-08,-9.503468976142362e-08,0.7071067811865476,0.5343991079231173,0.9242885334546938,2016
2016-03-08,352.5957600704579,385.91029321837345,0.9327515403850182,0.00019812098681987092,-2.713302787087196e-07,6.555949734412712e-06,-6.677931733685307e-07,-1.4028156496826559e-09,-1.5180037185159347e-08,6.143967556607097e-06,-7.719063666283688e-09,2.0123250318792825e-07,0.7071067811865476,0.5631734450036467,0.9209921613135663,2016
2016-03-12,297.9892181739122,383.6206158792177,0.7975048945592825,-0.00022238336402701233,2.0262610070764057e-07,-7.357879989434767e-06,6.944444444446663e-07,-1.388695197288046e-09,1.5266694219092426e-08,-6.879834254143856e-06,6.495391580437191e-09,-2.2531640794877087e-07,0.7071067811865476,0.5896221078631617,0.9156628398710331,2016
2016-03-16,386.2665957581706,406.8587715663887,1.010484786312971,0.0004255687901498929,-4.384943272620947e-08,1.406782484896432e-05,-2.1881691648818136e-07,-5.936193953404768e-10,7.269834634934942e-09,1.2832708779443306e-05,-1.1373971629109828e-09,4.1985379507844716e-07,0.7071067811865475,0.6188545878863437,0.9122030372185702,2016
2016-03-20,385.01395894486416,407.9578373452666,0.9623251894429972,-0.0003662597543073475,-1.7722239035564644e-06,-1.2057104031923551e-05,1.2979989183319718e-07,4.723037946566343e-10,-8.127739762597907e-09,-1.1026732596770005e-05,-5.330840824494319e-08,-3.592747990289278e-07,0.7071067811865476,0.6432267838836876,0.90866729894889,2016
2016-03-24,302.5902848928891,437.7015995424729,0.7665829873119838,0.0003023608240966864,1.3686006791551793e-06,9.959797857935778e-06,1.6907758782533056e-08,-4.682234648257218e-10,1.0785418034668826e-08,9.065752395265759e-06,4.119848741396264e-08,2.955583103276724e-07,0.7071067811865476,0.671328710004968,0.9073180294091479,2016
2016-03-28,222.08848469299926,450.4188654632946,0.5387930013129879,-0.0003116852971718288,4.2187270056757444e-07,-1.0317075187280956e-05,9.529045262925648e-08,2.268742298499571e-10,-7.47951996469184e-09,-9.379146050943533e-06,1.2588118747470166e-08,-3.072683996290203e-07,0.7071067811865476,0.696377370111841,0.904098654926492,2016
2016-04-01,249.5278788314939,469.9097248458265,0.5482262022409403,-5.63829787234026e-06,-3.6506710343215393e-07,-1.7731059671262783e-07,-2.565707133939811e-08,8.592402128533438e-10,-1.0353241700438956e-09,-1.6145181476861132e-07,-1.1209785166950927e-08,-5.0087206503657295e-09,0.8660254037844386,0.7203582640787874,0.9051036023316128,2016
2016-04-05,242.93323696975787,480.4010828607647,0.5111627509886746,-2.8257986738999758e-05,-1.043209477968152e-06,-9.143837520347396e-07,3.737191078937824e-08,1.3834280535082457e-09,2.7736915129043855e-10,-8.58951175407281e-07,-3.1711312755139486e-08,-2.7514723306429044e-08,0.8660254037844386,0.7443075596617428,0.9013156398267315,2016
2016-04-09,363.5848560406899,480.95121584914165,0.8056588021079275,3.932382277893771e-05,1.3000832660595353e-07,1.3039100075267883e-06,-3.4794711196946957e-09,1.0849622519324395e-09,1.1826380593297844e-09,1.1807585247038688e-06,3.5747611217890893e-09,3.8762508808005596e-08,0.8660254037844386,0.7666374656551659,0.8924861749542145,2016
2016-04-13,260.3655777916108,489.7329295593907,0.4862964010702377,-8.188302425107213e-05,1.0275219274388377e-06,-2.731076119761891e-06,3.7089871611709385e-08,9.304723583657038e-10,-1.562982193196872e-09,-2.4676176890160915e-06,3.05465161157777e-08,-8.146338893489771e-08,0.8660254037844386,0.7882805477378892,0.8890926647186692,2016
2016-04-17,341.07679784314456,497.76379500943017,0.7196897798046564,0.0001977152801167609,-1.803998808417904e-07,6.538073782995409e-06,-1.3977770293002574e-07,1.693883952290894e-09,1.892312358246205e-09,5.973391714381989e-06,-5.920161610481809e-09,1.9557451978238793e-07,0.8660254037844386,0.8090076042477167,0.8859945528756283,2016
2016-04-21,303.54402076737733,504.8550065216613,0.630013644394773,0.0002283833858746746,-8.075035552217236e-07,7.6264011310823565e-06,-1.841712294675328e-07,2.0650048857555165e-09,1.3648994283879202e-09,6.906752945080226e-06,-2.4844608121964042e-08,2.283825641039545e-07,0.8660254037844386,0.8287581661970246,0.8830127109766158,2016
2016-04-25,380.5562490761743,521.0188175831768,0.7895674757501878,-2.8207396920898987e-05,1.891852987210319e-07,-9.539828420098249e-07,1.7460036571658367e-07,1.87738934991207e-09,4.62796124686893e-09,-8.98602017342197e-07,5.112342156758969e-09,-3.000787363435519e-08,0.8660254037844386,0.8470405774324062,0.8890351045949252,2016
