soc,grid_import,grid_export,energy_cost,degradation_cost,total_cost,battery_action,timestep,pv_forecast,pv_actual,load
2.51080606259611,0.18757842613297093,0.0,0.02941229721764984,0.046986712026684765,0.0763990092443346,-0.9397342405336953,0,0.6228263222219981,0.37268733333333337,1.4999999999999996
1.6059736251441539,0.0,0.05346050779940936,-0.004757985194147433,0.04297954077896793,0.038221555584820495,-0.8595908155793585,1,0.6115402819815683,0.5633435,1.369473807779949
0.8862223028088284,0.0,0.13609146798774663,-0.01211214065090945,0.03418818781092796,0.022076047160018507,-0.6837637562185591,2,0.6185778834581747,0.6935086666666668,1.2411809548974793
0.310596622010161,0.17681028198728677,0.0,0.027723852215606564,0.027342219837936704,0.05506607205354327,-0.546844396758734,3,0.6475142976033749,0.3936618888888888,1.1173165676349095
0.0,0.41106320909034716,0.0,0.06445471118536643,0.014753339545482651,0.07920805073084908,-0.295066790909653,4,0.6222721812454697,0.29387,1.0000000000000002
0.0,0.6772411265468345,0.0,0.10619140864254366,0.0,0.10619140864254366,-0.0,5,0.5713509040275531,0.21399744444444446,0.891238570991279
0.0,0.584299329924564,0.0,0.09161813493217164,0.0,0.09161813493217164,-0.0,6,0.5229121311324376,0.20859388888888888,0.7928932188134529
0.0,0.5648359930420981,0.0,0.08856628370900098,0.0,0.08856628370900098,-0.0,7,0.5083339153921902,0.1418106666666667,0.7066466597087647
0.0,0.5283655406600053,0.0,0.08284771677548883,0.0,0.08284771677548883,-0.0,8,0.509201285746231,0.10560905555555555,0.6339745962155608
0.0,0.4922433008220466,0.0,0.0771837495688969,0.0,0.0771837495688969,-0.0,9,0.49134333508368166,0.08387716666666667,0.5761204674887133
0.0,0.4774822848220427,0.0,0.07486922226009629,0.0,0.07486922226009629,-0.0,10,0.483898037054895,0.05659188888888889,0.5340741737109316
0.0,0.4725690150306839,0.0,0.07409882155681123,0.0,0.07409882155681123,-0.0,11,0.47295911476811886,0.03598612359550562,0.5085551386261895
0.0,0.2936608988764045,0.0,0.046046028943820226,0.0,0.046046028943820226,-0.0,12,0.4867482213541282,0.2063391011235955,0.5
0.0,0.3182100830706341,0.0,0.04989534102547542,0.0,0.04989534102547542,-0.0,13,0.5457848158349925,0.19034505555555553,0.5085551386261896
0.0,0.23813095148870944,0.0,0.03733893319342964,0.0,0.03733893319342964,-0.0,14,0.5595251568337662,0.29594322222222225,0.5340741737109317
0.0,0.22010630082204685,0.0,0.034512667968896946,0.0,0.034512667968896946,-0.0,15,0.5894154716407138,0.35601416666666663,0.5761204674887135
0.0,0.3400010962155616,0.0,0.05331217188660006,0.0,0.05331217188660006,-0.0,16,0.6240634029137864,0.2939735,0.6339745962155616
0.0,0.29960432637543116,0.0,0.0469779583756676,0.0,0.0469779583756676,-0.0,17,0.6359694416686916,0.40704233333333334,0.7066466597087645
0.0,0.2773162743690083,0.0,0.0434831918210605,0.0,0.0434831918210605,-0.0,18,0.6416766027486507,0.5155769444444444,0.7928932188134526
0.0,0.42213779321350164,0.0,0.06619120597587705,0.0,0.06619120597587705,-0.0,19,0.6702539013506048,0.4691007777777778,0.8912385709912795
0.0,0.39421555555555554,0.0,0.06181299911111111,0.0,0.06181299911111111,-0.0,20,0.684116617763221,0.6057844444444445,1.0
0.0,0.6643290676349108,0.0,0.10416679780515402,0.0,0.10416679780515402,-0.0,21,0.7251145594244441,0.4529875,1.1173165676349108
0.0,0.8293720660085899,0.0,0.1300455399501469,0.0,0.1300455399501469,-0.0,22,0.6935779538314562,0.4118088888888889,1.2411809548974788
0.0,0.9018676411132823,0.0,0.14141284612656266,0.0,0.14141284612656266,-0.0,23,0.6835687155332809,0.46760616666666655,1.3694738077799489
0.0,1.0717492222222225,0.0,0.16805027804444447,0.0,0.16805027804444447,-0.0,24,0.6879170111581734,0.42825077777777776,1.5000000000000002
0.0,1.2611276922200516,0.0,0.28249260305729157,0.0,0.28249260305729157,-0.0,25,0.6987076801532475,0.3693985,1.6305261922200516
0.0,1.346053489546966,0.0,0.3015159816585204,0.0,0.3015159816585204,-0.0,26,0.6768607709030134,0.4127655555555555,1.7588190451025216
0.0,1.4472544323650895,0.0,0.3241849928497801,0.0,0.3241849928497801,-0.0,27,0.6816217836098848,0.43542899999999995,1.8826834323650896
0.0,1.4902963333333337,0.0,0.33382637866666676,0.0,0.33382637866666676,-0.0,28,0.6944016160437204,0.5097036666666667,2.0000000000000004
0.0,1.4421442067864987,0.0,0.3230403023201757,0.0,0.3230403023201757,-0.0,29,0.7212009087837395,0.6666172222222222,2.108761429008721
0.0,1.2703212256309926,0.0,0.28455195454134236,0.0,0.28455195454134236,-0.0,30,0.7447573822617414,0.9367855555555554,2.207106781186548
0.0,1.3434308958467915,0.0,0.3009285206696813,0.0,0.3009285206696813,-0.0,31,0.8465837676383702,0.9499224444444444,2.293353340291236
0.0,0.8684688482288827,0.0,0.19453702200326972,0.0,0.19453702200326972,-0.0,32,1.0510835313011915,1.4975565555555557,2.3660254037844384
0.0,1.1824369769557315,0.0,0.2648658828380839,0.0,0.2648658828380839,-0.0,33,1.6552602891040902,1.2414425555555555,2.423879532511287
0.0,1.5382355485112909,0.0,0.34456476286652915,0.0,0.34456476286652915,-0.0,34,1.6141326996439487,0.9276902777777779,2.4659258262890686
0.0,1.5086755835960326,0.0,0.3379433307255113,0.0,0.3379433307255113,-0.0,35,1.3187013955928948,0.982769277777778,2.4914448613738105
0.0,1.5505605555555557,0.0,0.3473255644444445,0.0,0.3473255644444445,-0.0,36,1.2059190328944385,0.9494394444444444,2.5
