samplingFrequency,polynomialAugmentation,features,history,epochs_trained,dropout_rate,mc_samples,MAPE_P50,RMSE_P50,nRMSE_P50,MAE_P50,nMAE_P50,R2_P50,MBE_P50,PICP_80,PINAW,QuantileLoss_P10,QuantileLoss_P50,QuantileLoss_P90,AvgQuantileScore,IntervalWidth
30_minutes,1,GHI,10,24,0.2,100,48.080174347635214,90.39943557312982,0.25011771268299665,65.45429583933924,0.1810993471012101,0.8761208110752646,-21.042342896820852,15.037593984962406,0.09812168262399729,21.10577325422582,32.72714791966962,31.55650034433621,28.46314050607722,35.46388071258793
30_minutes,1,GHI,20,13,0.2,100,52.66678474917954,113.73879925834622,0.3146501785766944,87.97987577686541,0.2433899760227573,0.8039098370266393,-43.08213957033396,10.756608933454876,0.10042136768968202,23.227529052341826,43.989937888432706,51.329555851028786,39.515674263934436,36.30001366142975
30_minutes,2,GHI,10,50,0.2,100,46.141559532148406,84.32603107888137,0.23331377988552707,62.13003852193132,0.1719017715706951,0.8922070802297374,-7.853236084955335,14.673046251993622,0.09134785570617941,23.882877167608314,31.06501926096566,26.495934628002153,27.147943685525377,33.015632951675
30_minutes,2,GHI,20,26,0.2,100,72.88040364081687,110.64746769977954,0.3060982329496493,88.01331439207351,0.2434824815381592,0.8144241376515142,-24.8997344647464,8.659981768459435,0.08213085152596498,31.255616812615642,44.006657196036755,45.81734046836885,40.35987149234041,29.688412944446604
30_minutes,1,GHI_d1,10,50,0.2,100,30.374356850576273,79.48019679628648,0.21990629587725583,53.131054168282716,0.1470033264782604,0.9042398576442294,-1.5993144224784444,27.660059239006607,0.10062307136732984,20.748942454292518,26.565527084141358,20.585791916312512,22.63342048491546,36.36795155235623
30_minutes,1,GHI_d1,20,29,0.2,100,36.86367626243461,89.80792862232713,0.2484471522723998,65.66642292889482,0.181661419285234,0.877744645667695,-25.56766772304395,13.49134001823154,0.08774316906512103,19.588388195779487,32.83321146444741,34.462069150701936,28.96122293697628,31.717136591919676
30_minutes,2,GHI_d1,10,50,0.2,100,36.3128416835707,76.737856559024,0.21231877209246666,50.24957618645258,0.1390308355285935,0.9107339651399111,2.309262156292877,28.43472317156528,0.09775906154636849,21.25232432377751,25.12478809322629,17.84096375994894,21.406025392317577,35.33281945989644
30_minutes,2,GHI_d1,20,18,0.2,100,45.244234274256186,86.69578270509692,0.23983762522447505,63.94162136929648,0.17688988026534097,0.8860709507986644,-8.980227359936615,14.744758432087512,0.09394921265425803,24.35047972950186,31.97081068464824,27.541362988421575,27.954217800857226,33.96047854445363
30_minutes,1,GHI_season,10,22,0.2,100,51.430643229477845,88.2188024897301,0.2440843236959649,64.40836525733597,0.1782054599531623,0.8820252048438413,-9.379338682995417,18.774208247892457,0.10203188683098037,24.878579779220498,32.204182628667986,27.167344277579517,28.083368895156,36.877136293311054
30_minutes,1,GHI_season,20,13,0.2,100,49.26880109647031,92.68879186750806,0.2564168525018903,63.06527081285144,0.1744655197051869,0.8697754179546506,5.951555550282562,28.395624430264355,0.12425498638981178,25.939727162148877,31.53263540642572,24.763904919505155,27.41208916269325,44.915318395074706
30_minutes,2,GHI_season,10,17,0.2,100,42.30547907650836,84.89232413224286,0.2348806029781388,57.03971510134976,0.15781783351620815,0.8907544481891451,1.7533147555708894,31.07769423558897,0.11813252028847195,21.905074625545478,28.51985755067488,22.916379892857414,24.447104023025926,42.69634902044725
30_minutes,2,GHI_season,20,41,0.2,100,52.06472062696188,81.63685057711497,0.22584245464190808,58.73910755834387,0.1624975013204416,0.8989791512045758,7.293675810982832,23.883318140382862,0.11778612976826132,25.953777232769756,29.369553779171934,18.835010414351622,24.719447142097767,42.5769755788153
30_minutes,1,GHI_season_d1,10,20,0.2,100,37.36518378609709,82.17074846112342,0.2273505307222848,52.97339101753496,0.14656710310596374,0.8976468056620918,4.020787101899943,31.82957393483709,0.11577261259113858,21.89259725225046,26.48669550876748,19.97286298974996,22.784051916922632,41.84341333046673
30_minutes,1,GHI_season_d1,20,50,0.2,100,36.328642859691016,76.95926438370978,0.21290225006211672,49.277427148744565,0.13632244540347344,0.9102239806492199,6.4616323842734475,34.70829535095716,0.10924337631403308,20.818430743502525,24.638713574372282,17.26290512963432,20.90668314916971,39.48896677920429
30_minutes,2,GHI_season_d1,10,28,0.2,100,40.949173204707634,77.43581994696999,0.21424990147422374,49.939745073731494,0.13817359290599843,0.909102755473087,8.152726600020026,35.543403964456594,0.1133048234708469,22.932987602698812,24.969872536865747,16.256537738974355,21.38646595951297,40.951486320600694
30_minutes,2,GHI_season_d1,20,44,0.2,100,35.50960993268213,77.58361371919936,0.21462946743373515,52.880258008083125,0.1462894169265117,0.9087614156397719,-5.076760780739566,28.41841385597083,0.11679028020461611,19.453723863865243,26.440129004041562,19.55611830296368,21.816657056956828,42.21699887667799
